StationID,Lat,Lon,Rainfall_mm
9053,-31.67,116.02,193.0
9066,-31.79,116.2,278.4
9105,-31.73,115.79,227.9
9111,-32.44,116.08,255.7
9113,-32.11,116.08,242.6
9131,-30.31,115.03,141.4
9172,-32.1,115.88,206.8
9178,-31.46,115.86,214.2
9182,-31.97,116.02,206.2
9193,-32.01,115.5,134.4
9215,-31.96,115.76,220.8
9225,-31.92,115.87,203.8
9240,-32.01,116.14,281.6
9243,-31.34,115.57,208.0
9248,-31.33,115.95,199.4
9256,-32.24,115.68,153.2
9258,-32.22,115.88,203.8
9260,-32.47,116.21,190.4
9264,-31.71,115.72,214.4
9268,-31.46,116.37,151.0
9271,-32.19,116.06,248.4
9274,-31.26,116.13,151.8
9275,-31.59,115.97,238.2
9276,-30.57,115.22,139.1
9277,-31.43,116.09,204.8
9278,-33.74,115.47,164.2
9279,-31.0,116.23,143.4
9280,-30.84,115.23,149.4
9281,-31.81,116.02,215.6
9500,-35.03,117.88,149.0
9513,-33.21,115.85,202.4
9515,-33.66,115.35,43.0
9518,-34.37,115.14,143.0
9519,-33.54,115.02,125.4
9534,-33.57,115.82,189.5
9538,-32.71,116.06,254.2
9542,-33.68,121.83,59.8
9557,-33.93,120.09,31.6
9573,-34.25,116.15,163.4
9579,-33.76,122.07,87.1
9581,-34.63,117.64,95.0
9585,-33.98,115.77,178.2
9587,-34.0,116.43,120.0
9592,-34.45,116.04,214.5
9603,-33.68,115.4,126.6
9613,-34.14,115.23,198.0
9617,-33.95,116.13,165.8
9619,-34.15,116.2,141.6
9628,-33.36,116.15,164.7
9629,-33.45,115.73,173.8
9633,-34.86,118.11,109.4
9635,-34.36,117.08,108.8
9636,-33.84,115.07,183.2
9647,-34.95,117.28,177.8
9710,-33.31,115.82,249.2
9739,-33.68,122.33,71.0
9752,-34.75,117.34,144.0
9769,-32.57,116.44,169.0
9772,-33.76,121.22,42.8
9776,-33.79,115.32,150.4
9784,-34.93,117.16,136.3
9789,-33.83,121.89,91.0
9803,-33.78,115.34,142.4
9805,-34.98,116.73,190.0
9813,-33.73,122.76,62.0
9815,-33.88,122.57,86.0
9822,-33.78,121.56,67.8
9842,-33.8,115.67,197.2
9852,-34.89,118.4,81.8
9865,-34.4,118.89,53.6
9868,-33.71,120.87,37.6
9871,-34.84,116.03,196.6
9877,-33.6,115.5,152.4
9891,-32.66,115.93,177.7
9893,-32.92,116.01,258.0
9894,-32.92,115.92,207.7
9912,-33.45,115.85,196.6
9917,-33.71,115.79,171.3
9923,-33.32,115.99,243.7
9961,-33.93,120.13,27.2
9964,-34.57,117.01,134.0
9965,-33.36,115.64,130.8
9967,-34.78,117.65,44.6
9968,-34.57,116.34,209.0
9971,-33.78,115.41,150.2
9976,-32.65,115.86,165.4
9977,-32.52,115.71,125.0
9978,-33.76,115.21,112.8
9982,-33.39,115.85,162.0
9987,-33.64,115.7,180.0
9988,-33.68,115.62,164.8
9989,-33.65,115.96,169.8
9990,-33.48,115.74,166.4
9991,-33.57,115.84,159.2
9992,-33.54,115.55,133.4
9994,-33.36,116.17,136.2
9997,-33.76,115.84,185.4
9998,-34.95,116.72,178.8
9999,-34.94,117.82,126.2
10000,-31.17,117.07,76.0
10007,-30.81,117.86,103.6
10009,-31.27,116.51,87.5
10010,-30.94,117.96,40.7
10011,-30.47,118.38,91.8
10019,-31.4,118.48,75.6
10026,-30.06,117.14,67.0
10031,-31.37,117.59,73.0
10032,-31.0,117.4,60.0
10034,-31.73,118.29,61.8
10040,-31.61,117.88,61.7
10041,-31.62,117.44,72.8
10043,-31.77,116.92,105.6
10044,-31.62,117.54,75.5
10055,-30.8,117.68,78.2
10058,-31.3,116.83,100.7
10060,-31.99,118.51,67.6
10061,-31.14,116.96,92.6
10064,-31.27,116.51,99.6
10073,-31.62,117.72,89.6
10075,-29.61,117.41,99.7
10076,-31.06,116.73,77.4
10089,-31.35,116.65,96.8
10092,-31.48,118.28,69.0
10097,-30.66,117.26,106.5
10102,-30.92,118.21,63.8
10104,-31.4,117.72,60.6
10111,-31.65,116.66,118.9
10112,-31.18,118.1,57.8
10124,-31.52,118.17,78.6
10126,-31.12,117.79,69.4
10129,-31.59,116.89,84.4
10132,-31.92,116.82,110.6
10134,-31.31,116.52,102.8
10135,-30.49,118.13,94.0
10136,-30.59,118.15,100.0
10137,-30.33,118.09,73.8
10140,-31.18,117.38,11.8
10143,-31.42,117.27,92.0
10145,-31.38,117.59,72.8
10149,-31.34,117.82,66.6
10151,-31.53,118.1,66.2
10155,-30.77,117.14,77.0
10158,-30.41,118.28,18.6
10163,-31.77,117.14,77.4
10192,-30.55,118.28,100.4
10230,-31.62,117.06,68.4
10245,-31.3,116.9,98.8
10286,-31.62,117.22,68.0
10304,-31.49,116.54,127.4
10307,-31.79,116.63,130.4
10308,-31.55,116.49,119.8
10310,-31.77,116.33,229.6
10311,-31.9,116.77,134.3
10502,-34.26,118.22,73.5
10503,-32.05,118.07,58.8
10508,-33.64,117.93,85.9
10511,-32.8,117.5,80.6
10515,-32.11,116.92,116.2
10518,-32.4,118.61,53.6
10520,-33.66,117.05,90.3
10524,-32.37,117.01,111.2
10525,-33.84,117.64,24.8
10527,-32.37,117.52,100.2
10530,-33.91,117.1,104.8
10531,-33.7,117.27,91.8
10534,-32.48,117.56,88.8
10536,-32.33,117.87,84.2
10537,-34.3,117.55,72.0
10541,-33.86,118.82,66.0
10542,-33.34,116.74,105.8
10546,-33.31,117.74,68.8
10556,-32.48,116.81,138.6
10564,-32.35,116.86,118.8
10568,-32.44,118.9,59.6
10582,-33.83,117.16,101.4
10584,-32.67,118.15,69.2
10614,-32.93,117.18,98.4
10619,-33.54,118.15,90.2
10622,-33.96,118.48,62.2
10625,-32.75,118.63,59.5
10626,-32.53,117.08,111.6
10627,-33.53,118.51,59.6
10628,-32.01,117.4,78.7
10633,-33.58,120.05,31.9
10634,-32.31,116.77,122.0
10635,-33.79,116.91,114.0
10641,-33.38,116.91,23.0
10643,-34.04,117.64,70.8
10647,-33.31,117.34,79.5
10665,-33.19,118.08,73.1
10692,-33.11,118.84,48.0
10699,-33.71,118.19,49.0
10702,-32.1,118.81,48.2
10729,-34.34,118.63,49.6
10792,-34.23,118.94,38.8
10831,-33.48,117.61,80.8
